赛事,时间,主队,比分,客队,赛果,平均欧指胜,平均欧指平,平均欧指败,澳门盘口,盘路,大小
德甲,2017/5/20,拜  仁,"4:1
                                                                                    	 (1:0)",弗赖堡,胜,1.15,8.47,14.77,两球半,赢,大
德甲,2017/5/13,莱比锡,"4:5
                                                                                    	 (2:1)",拜  仁,胜,4.5,4.16,1.69,受半球/一球,赢半,大
德甲,2017/5/6,拜  仁,"1:0
                                                                                    	 (1:0)",达姆施,胜,1.07,12.29,28.07,三球,输,小
德甲,2017/4/30,沃尔夫,"0:6
                                                                                    	 (0:3)",拜  仁,胜,7.56,4.88,1.39,受一球/球半,赢,大
德国杯,2017/4/27,拜  仁,"2:3
                                                                                    	 (2:1)",多  特,负,1.49,4.58,5.79,一球/球半,输,大
德甲,2017/4/22,拜  仁,"2:2
                                                                                    	 (1:2)",美因茨,平,1.17,7.32,15.2,两球,输,大
欧冠,2017/4/19,皇  马,"1:2
                                                                                    	 (0:0)",拜  仁,胜,2.52,3.8,2.59,平手,赢,大
德甲,2017/4/16,勒  沃,"0:0
                                                                                    	 (0:0)",拜  仁,平,4.73,3.9,1.7,受半球/一球,输,小
欧冠,2017/4/13,拜  仁,"1:2
                                                                                    	 (1:0)",皇  马,负,1.72,4.06,4.52,半球/一球,输,大
德甲,2017/4/9,拜  仁,"4:1
                                                                                    	 (2:1)",多  特,胜,1.49,4.52,6.23,一球/球半,赢,大
德甲,2017/4/5,霍  芬,"1:0
                                                                                    	 (1:0)",拜  仁,负,5.8,4.39,1.53,受一球,输,小
德甲,2017/4/1,拜  仁,"6:0
                                                                                    	 (2:0)",奥格斯,胜,1.1,9.65,24.17,两球半,赢,大
德甲,2017/3/20,门  兴,"0:1
                                                                                    	 (0:0)",拜  仁,胜,8.37,5.13,1.35,受球半,输,小
德甲,2017/3/11,拜  仁,"3:0
                                                                                    	 (2:0)",法兰克,胜,1.12,8.73,22.34,两球/两球半,赢,大
欧冠,2017/3/8,阿森纳,"1:5
                                                                                    	 (1:0)",拜  仁,胜,3.83,3.95,1.91,受半球,赢,大
德甲,2017/3/4,科  隆,"0:3
                                                                                    	 (0:1)",拜  仁,胜,9.1,4.88,1.36,受球半,赢,大
德国杯,2017/3/2,拜  仁,"3:0
                                                                                    	 (3:0)",沙尔克,胜,1.2,6.42,13.12,两球,赢,大
德甲,2017/2/25,拜  仁,"8:0
                                                                                    	 (3:0)",汉  堡,胜,1.15,7.72,18.36,两球,赢,大
德甲,2017/2/18,赫  塔,"1:1
                                                                                    	 (1:0)",拜  仁,平,8.2,4.43,1.41,受一球/球半,输,小
欧冠,2017/2/16,拜  仁,"5:1
                                                                                    	 (1:1)",阿森纳,胜,1.41,4.81,7.59,一球/球半,赢,大
德甲,2017/2/11,因戈尔,"0:2
                                                                                    	 (0:0)",拜  仁,胜,8.94,4.65,1.38,受一球/球半,赢,小
德国杯,2017/2/8,拜  仁,"1:0
                                                                                    	 (1:0)",沃尔夫,胜,1.14,7.99,16.8,两球/两球半,输,小
德甲,2017/2/4,拜  仁,"1:1
                                                                                    	 (1:1)",沙尔克,平,1.21,6.45,13.17,球半/两球,输,小
德甲,2017/1/28,不来梅,"1:2
                                                                                    	 (0:2)",拜  仁,胜,14.07,6.82,1.19,受两球,输,大
德甲,2017/1/21,弗赖堡,"1:2
                                                                                    	 (1:1)",拜  仁,胜,12.86,6.3,1.22,受两球,输,大
球会友谊,2017/1/14,杜塞尔,"0:0
                                                                                    	 (0:0)",拜  仁,平,7.43,3.13,1.56,NULL,走盘,小
球会友谊,2017/1/10,拜  仁,"5:0
                                                                                    	 (1:0)",欧  本,胜,1.04,11.14,20.84,三球/三球半,赢,大
德甲,2016/12/22,拜  仁,"3:0
                                                                                    	 (3:0)",莱比锡,胜,1.38,4.91,8.1,一球/球半,赢,大
德甲,2016/12/18,达姆施,"0:1
                                                                                    	 (0:0)",拜  仁,胜,19.22,7.94,1.14,受两球/两球半,输,小
德甲,2016/12/10,拜  仁,"5:0
                                                                                    	 (2:0)",沃尔夫,胜,1.13,8.49,18.38,两球半,赢,大
德甲,2017/5/20,科  隆,"2:0
                                                                                    	 (1:0)",美因茨,负,1.53,4.4,5.78,一球,输,小
德甲,2017/5/13,美因茨,"4:2
                                                                                    	 (0:1)",法兰克,胜,1.8,3.56,4.53,半球,赢,大
德甲,2017/5/7,汉  堡,"0:0
                                                                                    	 (0:0)",美因茨,平,2.35,3.34,3.03,平手/半球,赢半,小
德甲,2017/4/29,美因茨,"1:2
                                                                                    	 (0:1)",门  兴,负,2.06,3.5,3.54,半球,输,大
德甲,2017/4/22,拜  仁,"2:2
                                                                                    	 (1:2)",美因茨,平,1.17,7.32,15.2,两球,赢,大
德甲,2017/4/15,美因茨,"1:0
                                                                                    	 (1:0)",赫  塔,胜,2.17,3.25,3.49,平手/半球,赢,小
德甲,2017/4/8,弗赖堡,"1:0
                                                                                    	 (0:0)",美因茨,负,2.63,3.25,2.73,平手,输,小
德甲,2017/4/6,美因茨,"2:3
                                                                                    	 (0:0)",莱比锡,负,3.21,3.32,2.26,受平手/半球,输,大
德甲,2017/4/2,因戈尔,"2:1
                                                                                    	 (1:0)",美因茨,负,2.23,3.19,3.38,平手/半球,输,大
球会友谊,2017/3/24,美因茨,"1:1
                                                                                    	 (0:1)",卡尔斯,平,1.6,3.95,4.47,NULL,走盘,小
德甲,2017/3/19,美因茨,"0:1
                                                                                    	 (0:0)",沙尔克,负,2.79,3.26,2.57,平手,输,小
德甲,2017/3/11,达姆施,"2:1
                                                                                    	 (2:1)",美因茨,负,3.73,3.33,2.06,受半球,输,大
德甲,2017/3/4,美因茨,"1:1
                                                                                    	 (1:1)",沃尔夫,平,2.28,3.28,3.21,平手/半球,输半,小
德甲,2017/2/25,勒  沃,"0:2
                                                                                    	 (0:2)",美因茨,胜,1.68,3.82,5.08,半球/一球,赢,小
德甲,2017/2/18,美因茨,"0:2
                                                                                    	 (0:2)",不来梅,负,1.98,3.53,3.74,半球,输,小
德甲,2017/2/11,美因茨,"2:0
                                                                                    	 (1:0)",奥格斯,胜,2.07,3.24,3.81,半球,赢,小
德甲,2017/2/4,霍  芬,"4:0
                                                                                    	 (1:0)",美因茨,负,1.92,3.59,3.9,半球,输,大
德甲,2017/1/30,美因茨,"1:1
                                                                                    	 (0:1)",多  特,平,5.23,4.17,1.6,受一球,赢,小
德甲,2017/1/23,美因茨,"0:0
                                                                                    	 (0:0)",科  隆,平,2.5,3.19,2.92,平手,走盘,小
球会友谊,2017/1/15,美因茨,"3:1
                                                                                    	 (1:1)",图  恩,胜,1.48,4.16,5.71,NULL,赢,大
球会友谊,2017/1/14,门  兴,"0:1
                                                                                    	 (0:1)",美因茨,胜,NULL,NULL,NULL,NULL,赢,小
球会友谊,2017/1/7,美因茨,"0:2
                                                                                    	 (0:0)",费耶诺,负,3.12,3.46,2.06,受平手/半球,输,小
球会友谊,2017/1/6,美因茨,"1:1
                                                                                    	 (1:0)",海  牙,平,1.43,4.52,5.72,一球,输,小
德甲,2016/12/21,法兰克,"3:0
                                                                                    	 (1:0)",美因茨,负,2.35,3.14,3.22,平手/半球,输,大
德甲,2016/12/17,美因茨,"3:1
                                                                                    	 (1:1)",汉  堡,胜,1.93,3.56,3.87,半球,赢,大
德甲,2016/12/11,门  兴,"1:0
                                                                                    	 (0:0)",美因茨,负,1.71,3.77,4.82,半球/一球,输半,小
欧罗巴,2016/12/9,美因茨,"2:0
                                                                                    	 (2:0)",盖贝莱,胜,1.32,5.12,9.28,球半,赢,小
德甲,2016/12/3,美因茨,"1:3
                                                                                    	 (1:2)",拜  仁,负,10.59,5.84,1.27,受球半/两球,输半,大
德甲,2016/11/28,赫  塔,"2:1
                                                                                    	 (1:1)",美因茨,负,1.96,3.4,4.01,半球,输,大
欧罗巴,2016/11/25,埃蒂安,"0:0
                                                                                    	 (0:0)",美因茨,平,2.37,3.24,3.02,平手/半球,赢半,小
德甲,2017/5/20,因戈尔,"1:1
                                                                                    	 (1:1)",沙尔克,平,2.4,3.56,2.77,平手/半球,输半,小
德甲,2017/5/13,弗赖堡,"1:1
                                                                                    	 (1:1)",因戈尔,平,2.41,3.48,2.81,平手/半球,赢半,小
德甲,2017/5/6,因戈尔,"1:1
                                                                                    	 (0:0)",勒  沃,平,2.41,3.45,2.86,平手/半球,输半,小
德甲,2017/4/29,莱比锡,"0:0
                                                                                    	 (0:0)",因戈尔,平,1.53,4.27,5.98,一球,赢,小
德甲,2017/4/22,因戈尔,"2:4
                                                                                    	 (1:1)",不来梅,负,2.24,3.48,3.09,平手/半球,输,大
德甲,2017/4/15,沃尔夫,"3:0
                                                                                    	 (1:0)",因戈尔,负,2.03,3.37,3.74,平手/半球,输,大
德甲,2017/4/9,因戈尔,"3:2
                                                                                    	 (1:2)",达姆施,胜,1.51,4.08,7.06,一球,走盘,大
德甲,2017/4/6,奥格斯,"2:3
                                                                                    	 (0:2)",因戈尔,胜,2.6,3.08,2.88,平手,赢,大
德甲,2017/4/2,因戈尔,"2:1
                                                                                    	 (1:0)",美因茨,胜,2.23,3.19,3.38,平手/半球,赢,大
球会友谊,2017/3/23,因戈尔,"0:1
                                                                                    	 (0:0)",斯图加,负,2.72,3.38,2.31,NULL,输,小
德甲,2017/3/18,多  特,"1:0
                                                                                    	 (1:0)",因戈尔,负,1.28,5.51,10.59,球半,赢,小
德甲,2017/3/12,因戈尔,"2:2
                                                                                    	 (1:1)",科  隆,平,2.51,3.09,2.99,平手/半球,输半,大
德甲,2017/3/4,霍  芬,"5:2
                                                                                    	 (1:1)",因戈尔,负,1.75,3.58,4.89,半球/一球,输,大
德甲,2017/2/26,因戈尔,"0:2
                                                                                    	 (0:0)",门  兴,负,2.79,3.12,2.67,平手,输,小
德甲,2017/2/18,法兰克,"0:2
                                                                                    	 (0:1)",因戈尔,胜,2.07,3.15,3.92,半球,赢,小
德甲,2017/2/11,因戈尔,"0:2
                                                                                    	 (0:0)",拜  仁,负,8.94,4.65,1.38,受一球/球半,输,小
德甲,2017/2/4,赫  塔,"1:0
                                                                                    	 (1:0)",因戈尔,负,2.14,3.11,3.77,平手/半球,输,小
德甲,2017/1/28,因戈尔,"3:1
                                                                                    	 (2:0)",汉  堡,胜,2.2,3.19,3.48,平手/半球,赢,大
德甲,2017/1/21,沙尔克,"1:0
                                                                                    	 (0:0)",因戈尔,负,1.83,3.44,4.55,半球,输,小
球会友谊,2017/1/15,因戈尔,"0:0
                                                                                    	 (0:0)",纽伦堡,平,1.77,3.62,3.87,NULL,走盘,小
球会友谊,2017/1/7,因戈尔,"3:0
                                                                                    	 (1:0)",海 登,胜,1.8,3.44,3.98,半球,赢,大
德甲,2016/12/22,因戈尔,"1:2
                                                                                    	 (0:2)",弗赖堡,负,1.99,3.34,3.97,半球,输,大
德甲,2016/12/19,勒  沃,"1:2
                                                                                    	 (0:1)",因戈尔,胜,1.55,3.92,6.27,一球,赢,大
德甲,2016/12/10,因戈尔,"1:0
                                                                                    	 (1:0)",莱比锡,胜,4.48,3.6,1.8,受半球,赢,小
德甲,2016/12/3,不来梅,"2:1
                                                                                    	 (1:0)",因戈尔,负,2.34,3.37,3.03,平手/半球,输,大
德甲,2016/11/26,因戈尔,"1:1
                                                                                    	 (1:0)",沃尔夫,平,2.89,3.18,2.52,平手,走盘,小
德甲,2016/11/19,达姆施,"0:1
                                                                                    	 (0:0)",因戈尔,胜,2.92,3.08,2.57,平手,赢,小
球会友谊,2016/11/11,慕尼黑,"3:0
                                                                                    	 (2:0)",因戈尔,负,2.45,3.24,2.66,平手,输,大
德甲,2016/11/5,因戈尔,"0:2
                                                                                    	 (0:0)",奥格斯,负,2.32,3.13,3.3,平手/半球,输,小
德甲,2016/10/29,美因茨,"2:0
                                                                                    	 (0:0)",因戈尔,负,2.09,3.32,3.62,半球,输,小
德甲,2017/5/20,门  兴,"2:2
                                                                                    	 (0:0)",达姆施,平,1.26,6.3,10.15,两球,赢,大
德甲,2017/5/13,达姆施,"0:2
                                                                                    	 (0:2)",赫  塔,负,2.95,3.38,2.41,平手,输,小
德甲,2017/5/6,拜  仁,"1:0
                                                                                    	 (1:0)",达姆施,负,1.07,12.29,28.07,三球,赢,小
德甲,2017/4/29,达姆施,"3:0
                                                                                    	 (2:0)",弗赖堡,胜,3.37,3.47,2.12,受半球,赢,大
德甲,2017/4/22,汉  堡,"1:2
                                                                                    	 (0:0)",达姆施,胜,1.35,4.94,8.67,一球/球半,赢,大
德甲,2017/4/16,达姆施,"2:1
                                                                                    	 (1:0)",沙尔克,胜,4.5,3.76,1.76,受半球,赢,大
德甲,2017/4/9,因戈尔,"3:2
                                                                                    	 (1:2)",达姆施,负,1.51,4.08,7.06,一球,走盘,大
德甲,2017/4/6,达姆施,"0:2
                                                                                    	 (0:1)",勒  沃,负,4.84,3.9,1.69,受半球/一球,输,小
德甲,2017/4/1,莱比锡,"4:0
                                                                                    	 (1:0)",达姆施,负,1.34,5,9.26,球半,输,大
德甲,2017/3/18,沃尔夫,"1:0
                                                                                    	 (1:0)",达姆施,负,1.57,3.94,6.07,半球/一球,输半,小
德甲,2017/3/11,达姆施,"2:1
                                                                                    	 (2:1)",美因茨,胜,3.73,3.33,2.06,受半球,赢,大
德甲,2017/3/4,不来梅,"2:0
                                                                                    	 (0:0)",达姆施,负,1.68,3.86,5,半球/一球,输,小
德甲,2017/2/25,达姆施,"1:2
                                                                                    	 (0:0)",奥格斯,负,2.86,3.06,2.63,平手,输,大
德甲,2017/2/18,霍  芬,"2:0
                                                                                    	 (0:0)",达姆施,负,1.42,4.65,7.37,球半,输,小
德甲,2017/2/11,达姆施,"2:1
                                                                                    	 (1:1)",多  特,胜,8.23,4.91,1.37,受球半,赢,大
德甲,2017/2/6,法兰克,"2:0
                                                                                    	 (0:0)",达姆施,负,1.66,3.58,5.75,半球/一球,输,小
德甲,2017/1/28,达姆施,"1:6
                                                                                    	 (0:3)",科  隆,负,3.65,3.21,2.12,受半球,输,大
德甲,2017/1/21,达姆施,"0:0
                                                                                    	 (0:0)",门  兴,平,3.92,3.41,1.97,受半球,赢,小
球会友谊,2017/1/14,达姆施,"2:1
                                                                                    	 (1:0)",波  鸿,胜,2,3.33,3.39,NULL,赢,大
球会友谊,2017/1/11,达姆施,"0:1
                                                                                    	 (0:1)",亨  克,负,2.59,3.33,2.43,平手,输,小
球会友谊,2017/1/9,达姆施,"1:0
                                                                                    	 (0:0)",明斯特,胜,1.68,3.64,4.45,半球,赢,小
德甲,2016/12/22,赫  塔,"2:0
                                                                                    	 (0:0)",达姆施,负,1.67,3.62,5.61,半球/一球,输,小
德甲,2016/12/18,达姆施,"0:1
                                                                                    	 (0:0)",拜  仁,负,19.22,7.94,1.14,受两球/两球半,赢,小
德甲,2016/12/10,弗赖堡,"1:0
                                                                                    	 (0:0)",达姆施,负,1.75,3.63,4.82,半球/一球,输半,小
德甲,2016/12/4,达姆施,"0:2
                                                                                    	 (0:1)",汉  堡,负,2.77,3.16,2.65,平手,输,小
德甲,2016/11/27,沙尔克,"3:1
                                                                                    	 (1:1)",达姆施,负,1.36,4.71,9.29,球半,输,大
德甲,2016/11/19,达姆施,"0:1
                                                                                    	 (0:0)",因戈尔,负,2.92,3.08,2.57,平手,输,小
德甲,2016/11/5,勒  沃,"3:2
                                                                                    	 (1:0)",达姆施,负,1.33,5.06,9.55,球半,赢,大
德甲,2016/10/29,达姆施,"0:2
                                                                                    	 (0:0)",莱比锡,负,5.53,3.77,1.64,受半球/一球,输,小
德国杯,2016/10/27,瓦尔多夫,"1:0
                                                                                    	 (1:0)",达姆施,负,6.26,4.26,1.46,受一球,输,小
德甲,2017/5/20,法兰克,"2:2
                                                                                    	 (0:1)",莱比锡,平,2.96,3.47,2.34,受平手/半球,输半,大
德甲,2017/5/13,莱比锡,"4:5
                                                                                    	 (2:1)",拜  仁,负,4.5,4.16,1.69,受半球/一球,输半,大
德甲,2017/5/7,赫  塔,"1:4
                                                                                    	 (0:1)",莱比锡,胜,3.49,3.4,2.11,受半球,赢,大
德甲,2017/4/29,莱比锡,"0:0
                                                                                    	 (0:0)",因戈尔,平,1.53,4.27,5.98,一球,输,小
德甲,2017/4/23,沙尔克,"1:1
                                                                                    	 (0:1)",莱比锡,平,2.98,3.52,2.29,受平手/半球,输半,小
德甲,2017/4/15,莱比锡,"4:0
                                                                                    	 (2:0)",弗赖堡,胜,1.39,4.71,7.94,一球/球半,赢,大
德甲,2017/4/8,莱比锡,"1:0
                                                                                    	 (0:0)",勒  沃,胜,1.91,3.66,3.87,半球,赢,小
德甲,2017/4/6,美因茨,"2:3
                                                                                    	 (0:0)",莱比锡,胜,3.21,3.32,2.26,受平手/半球,赢,大
德甲,2017/4/1,莱比锡,"4:0
                                                                                    	 (1:0)",达姆施,胜,1.34,5,9.26,球半,赢,大
德甲,2017/3/18,不来梅,"3:0
                                                                                    	 (1:0)",莱比锡,负,3.36,3.46,2.14,受平手/半球,输,大
德甲,2017/3/11,莱比锡,"0:1
                                                                                    	 (0:1)",沃尔夫,负,1.69,3.94,5.45,一球,输,小
德甲,2017/3/4,奥格斯,"2:2
                                                                                    	 (1:1)",莱比锡,平,4.2,3.45,1.9,受半球,输,大
德甲,2017/2/25,莱比锡,"3:1
                                                                                    	 (2:0)",科  隆,胜,1.67,3.71,5.36,半球/一球,赢,大
德甲,2017/2/19,门  兴,"1:2
                                                                                    	 (0:1)",莱比锡,胜,2.55,3.22,2.84,平手,赢,大
德甲,2017/2/11,莱比锡,"0:3
                                                                                    	 (0:2)",汉  堡,负,1.55,4.09,6.09,一球,输,大
德甲,2017/2/5,多  特,"1:0
                                                                                    	 (1:0)",莱比锡,负,1.58,4.19,5.55,一球,走盘,小
德甲,2017/1/28,莱比锡,"2:1
                                                                                    	 (1:1)",霍  芬,胜,1.74,3.7,4.72,半球/一球,赢半,大
德甲,2017/1/22,莱比锡,"3:0
                                                                                    	 (2:0)",法兰克,胜,1.69,3.61,5.4,半球/一球,赢,大
球会友谊,2017/1/15,莱比锡,"4:0
                                                                                    	 (2:0)",流浪者,胜,1.28,5.06,8.67,,赢,大
球会友谊,2017/1/11,法伦斯,"0:6
                                                                                    	 (0:4)",莱比锡,胜,,,,,赢,大
球会友谊,2017/1/7,莱比锡,"1:5
                                                                                    	 (0:3)",阿贾克,负,1.72,3.74,4.01,平手/半球,输,大
德甲,2016/12/22,拜  仁,"3:0
                                                                                    	 (3:0)",莱比锡,负,1.38,4.91,8.1,一球/球半,输,大
德甲,2016/12/17,莱比锡,"2:0
                                                                                    	 (1:0)",赫  塔,胜,1.63,3.82,5.58,半球/一球,赢,小
德甲,2016/12/10,因戈尔,"1:0
                                                                                    	 (1:0)",莱比锡,负,4.48,3.6,1.8,受半球,输,小
德甲,2016/12/4,莱比锡,"2:1
                                                                                    	 (1:1)",沙尔克,胜,1.93,3.4,4.15,半球,赢,大
德甲,2016/11/26,弗赖堡,"1:4
                                                                                    	 (1:3)",莱比锡,胜,3.85,3.55,1.95,受半球,赢,大
德甲,2016/11/19,勒  沃,"2:3
                                                                                    	 (2:1)",莱比锡,胜,2.29,3.33,3.15,平手/半球,赢,大
德甲,2016/11/6,莱比锡,"3:1
                                                                                    	 (3:0)",美因茨,胜,1.59,3.92,5.78,一球,赢,大
